X,Y,Z
-3629533.2623095,2991885.93638288,4293194.52950472
-3628143.0383299,2995329.8775425,4291976.22727156
-3627535.83431728,2999145.85868584,4289838.51045517
-3627556.89976489,3003016.69664204,4287130.1323476
-3628822.2261228,3009984.38289965,4281208.74486323
-3629989.72630899,3013251.13670985,4277941.75735367
-3631645.83520332,3016272.91242969,4274428.87745659
-3633881.01556337,3018888.22279391,4270706.38467163
-3637022.58587375,3020398.15766285,4266987.93050476
-3640069.94741427,3019724.19212941,4264880.08082822
-3647860.93448183,3015191.27174143,4261452.18182112
-3650665.22772006,3014045.86729496,4259871.38184425
-3658077.31254049,3012240.27247999,4254821.03198788
-3659410.64686208,3011350.11539864,4254308.01869605
-3660491.6408697,3009764.02925736,4254499.14712149
-3661933.59709672,3006863.33520403,4255303.82250584
-3665032.57907803,3002563.89985082,4255669.23872455
-3665797.66459705,3001146.44836507,4256007.81289308
-3666440.71129229,2999499.01936649,4256611.1585043
-3671388.51687009,2997128.20112962,4254033.0498545
-3673806.12028147,2997423.93716662,4251752.2695501
-3679240.11740944,2996751.398869,4247553.73578315
-3680823.8591394,2996267.70471495,4246529.60819389
-3683950.54372753,2994743.62073632,4244904.02949516
-3685547.44754204,2994259.90317718,4243865.95156055
-3692745.37647231,2993070.38281902,4238480.82324118
-3694349.00117592,2992457.85846051,4237522.22445966
-3695845.97913838,2991601.90979125,4236825.87115366
-3697290.06778563,2990407.27229748,4236412.05294511
-3698734.25639925,2988812.86730076,4236277.47102831
-3700227.53123544,2987492.34510927,4235907.35319269
-3702088.96342586,2986468.4618374,4235008.86980419
-3709125.89224694,2984048.49955523,4230584.91997128
-3711107.17243445,2983810.84886198,4229025.22972674
-3711078.72086089,2984855.57983013,4228317.66143701
-3708956.46265672,2988097.16172387,4227893.07557669
-3708180.65957322,2989817.94600925,4227360.61106959
-3707778.74834805,2991371.37982847,4226619.11681584
-3707284.04772961,2997462.83215022,4222761.69772903
-3706023.5808018,3000397.82724303,4221790.16357714
-3703027.95808634,3002938.83216878,4222606.53387303
-3696452.83847827,3006782.16645441,4225611.19470792
-3693098.05797374,3009443.78871549,4226642.71141319
-3690544.08105238,3012608.56477696,4226619.11681584
-3689342.17316883,3016468.06306676,4224926.77869517
-3688438.95541097,3018090.40450039,4224559.24838869
-3687124.21472089,3018028.98363854,4225742.67352217
-3686735.09137268,3016836.08878829,4226925.83825262
-3687032.85101314,3015392.61932023,4227690.8800884
-3687021.06835279,3014203.32328799,4228543.41957249
-3685681.21255469,3013771.78589417,4230008.93169594
-3683973.53351013,3014331.71238285,4231090.12183366
-3682386.83101948,3015627.71307169,4231544.76283745
-3681260.03262796,3017326.44927103,4231315.76330566
-3680959.5535847,3019099.80803686,4230318.82775761
-3681436.98660505,3020593.62115115,4228846.66179292
-3683049.65102585,3023597.74164501,4225317.88422386
-3683497.43977422,3025200.42374059,4223790.38839703
-3681706.11171358,3030135.73165197,4221827.27398955
-3681598.83548123,3031117.68574038,4221219.98036057
-3681371.97868272,3032159.36179633,4220673.35761449
-3679198.97795513,3036127.70597519,4219721.69702402
-3678638.84734587,3037519.16094116,4219212.05086037
-3679669.27730562,3040488.961364,4216193.69015124
-3684800.0082404,3043654.14206005,4209468.91834457
-3686091.90376816,3045892.85287301,4206736.07764123
-3685415.15420377,3048770.64425232,4205254.08731772
-3680437.07493831,3058307.44607863,4202705.33912927
-3680174.46265354,3059733.17259571,4201902.89683361
-3680072.90051337,3061638.28970885,4200612.6472876
-3680340.65059128,3063533.21162423,4199007.02932266
-3681173.18708791,3064916.69371588,4197278.93875095
-3681518.77722585,3066346.75526364,4195940.14047079
-3680086.48638267,3067757.52664765,4196163.86120877
-3676567.9080402,3070005.73378393,4197594.10180274
-3676024.15468499,3070712.76627111,4197553.43663614
-3675424.6270022,3072073.67767297,4197085.76528594
-3674998.46488916,3072737.2610005,4196973.9248559
-3674171.08846558,3073349.14211404,4197248.43812654
-3671990.32634891,3074291.8230163,4198458.16560403
-3671219.4369558,3074835.11267631,4198732.60431015
-3670029.86182903,3075346.89063321,4199393.23372132
-3668426.65410832,3075103.3991681,4200961.48500398
-3665329.39990437,3074049.79109426,4204411.40608681
-3660450.8143301,3073263.01427987,4209201.78291212
-3659046.87789092,3072500.76158971,4210966.66229107
-3658071.68405631,3071203.52271239,4212747.86454023
-3657321.17081037,3068483.91728553,4215362.83882707
-3654659.39407651,3064499.8213641,4220531.63159601
-3653832.83004381,3058207.22268866,4225773.01433683
-3652164.36072681,3055523.04431244,4229133.0415327
-3652151.46352593,3055036.09892349,4229493.52133089
-3653419.86856428,3053716.4378867,4229352.02750161
-3653799.82333311,3053134.95716225,4229442.98820152
-3653740.05705936,3052106.88354873,4230231.25029628
-3653377.75320857,3051478.28282095,4230992.45317833
-3652196.58933828,3050315.59467561,4232837.75299886
-3651817.40797545,3050078.14831451,4233332.64322306
-3650997.79948974,3050071.50387582,4234039.54980969
-3650636.18391082,3049822.23159768,4234527.59745259
-3650568.6163504,3049343.2196743,4234928.09980712
-3650701.97368935,3048680.00907256,4235288.18977411
-3650986.41738904,3047826.2470488,4235654.98552101
-3650429.51617674,3047132.60325617,4236627.37700916
-3649550.5870226,3046310.97843259,4237966.22846882
-3649394.99883831,3045776.56344321,4238480.82324118
-3648144.8589324,3045436.54210965,4239792.31091542
-3646763.26231199,3044880.91818681,4241369.03166665
-3645626.80211687,3044063.84758094,4242921.76296736
-3645113.78702093,3042923.80290661,4244171.68485714
-3641725.5693243,3043678.16045881,4246522.89188517
-3635097.4107915,3043614.83315733,4252205.14979375
-3631864.26494932,3044516.01422346,4254308.01869605
-3624637.67424386,3049256.13050147,4257056.91946401
-3622664.68051714,3049556.35284095,4258511.24609813
-3622360.36390433,3049423.25443695,4258863.03902491
-3621815.95258135,3049518.75649655,4259255.00916612
-3619104.88311564,3049336.20461189,4261673.1880516
-3618330.20765595,3049685.43391761,4262078.34203321
-3616189.3819619,3051220.86836771,4262791.47105487
-3612228.40501027,3052747.94102632,4265040.70871158
-3611027.79330395,3052911.61912343,4265934.11159228
-3609112.91459585,3052356.48024397,4267937.85877081
-3606306.48679033,3051063.82091811,4271211.11497216
-3605444.92817443,3049825.33039958,4272811.89055558
-3604927.94905369,3048079.43726352,4274482.32304423
-3604217.34596952,3042977.67515263,4278686.10350835
-3603528.09480619,3041256.26466596,4280478.10562323
-3601608.35750909,3038252.37071139,4284200.29066986
-3599019.36728604,3036103.34364704,4287873.16195838
-3593857.61386711,3033523.00968524,4293983.2766673
-3592230.62827749,3031005.26528381,4297100.47473455
-3591905.70882993,3027134.50051564,4300079.50883684
-3593236.14987732,3023937.67217473,4301209.49388583
-3598086.63545537,3017654.42155054,4301565.05533239
-3599086.14300164,3015942.23220924,4301927.23743128
-3599459.9670965,3014541.4951428,4302591.72528827
-3599356.00823676,3010012.36061209,4305826.54983021
-3599558.76506711,3009148.18030572,4306258.14804907
-3599927.31489039,3008353.25510381,4306503.81077271
-3600512.10057686,3007548.05762103,4306576.84332995
-3600707.58401916,3006825.81559151,4306915.43525296
-3600577.40053122,3005823.14040834,4307718.67166036
-3599661.95777949,3002344.33538474,4310887.23559932
-3599541.23498156,3000796.16393919,4312057.94508089
-3600195.86071009,2999530.85848677,4312389.5419144
-3602126.41482183,2998739.12858808,4311334.98909194
-3604970.65353952,2998671.77190133,4309019.5139021
-3606448.10710561,2998306.41021606,4308043.91325877
-3607748.63476259,2997178.44850709,4307741.90383144
-3608162.3990931,2995210.19929543,4308757.38096495
-3607148.05973837,2993658.61797583,4310671.63654064
-3605922.23539515,2992442.34705596,4312528.80621445
-3605708.85591163,2991486.99843244,4313364.31173893
-3606205.75610225,2989954.02802312,4314007.42498979
-3605874.26106728,2988123.88601859,4315541.94939095
-3604805.08392457,2984578.91191499,4318864.61194823
-3604777.61426295,2982865.11483814,4320063.28427413
-3605381.53982912,2976150.90618958,4324160.4693785
-3606325.46222341,2972488.67484423,4325880.43051243
-3606309.1117129,2970574.61370545,4327199.77297143
-3605496.10737562,2969277.49161848,4328756.74859706
-3604114.8410696,2969222.58716639,4329936.556502
-3602421.65335939,2969399.88301261,4331215.19585163
-3600693.52858978,2968774.29595363,4333068.15086339
-3599497.78312577,2968535.64206087,4334217.23459566
-3594001.42911246,2969075.1031409,4338378.81072436
-3590750.31179831,2969883.3609376,4340502.82001854
-3587432.45990784,2971165.9472444,4342355.64476248
-3584277.66553833,2971704.42711912,4344576.81033067
-3581471.28963401,2970296.24934374,4347830.97674084
-3578697.43673137,2964754.24845851,4353852.81808223
-3581280.86446851,2961691.47952782,4353813.35437865
-3582322.54332799,2959983.43410957,4354115.90160795
-3582689.53650226,2958292.06574076,4354957.67492554
-3582426.65611346,2957518.80078794,4355694.1094895
-3581957.41947325,2956814.88966715,4356552.04918879
-3581601.21655124,2956110.30572623,4357317.82387069
-3581699.59433338,2955327.76965117,4357764.74492315
-3582484.93622609,2954522.10473392,4357666.16287217
-3583555.0821265,2954087.92474009,4357084.48878868
-3584581.94990085,2953822.93330306,4356423.86074503
-3585209.84632163,2953519.62641133,4356114.88006674
-3586402.09298039,2952706.53693955,4355687.5346014
-3593568.40448083,2949591.37572875,4351915.43673445
-3595216.15047662,2949064.03860352,4350918.49279964
-3598439.75878294,2948563.2206048,4348607.97344039
-3600195.35757917,2947857.12123632,4347640.00136121
-3605374.1713882,2944517.82775892,4345624.43569512
-3606347.77580765,2944279.91527889,4344982.05001555
-3607998.96479534,2944048.34146982,4343776.11813231
-3608807.0140217,2943674.66313287,4343360.89389477
-3609693.36951125,2942954.96110382,4343113.72020303
-3614271.03944191,2935918.0139941,4344062.80043957
-3616796.70551977,2930048.15166633,4345911.01186179
-3617852.09486609,2928503.79527637,4346072.40957579
-3618725.79605655,2928054.16376618,4345650.78822785
-3618994.42264227,2929326.36534758,4344576.81033067
-3619626.76175147,2930655.20386884,4343163.15595201
-3621593.48887723,2930408.57446782,4341699.65184388
-3622293.23228008,2929868.18990347,4341482.06734614
-3624402.91242919,2927676.38271037,4341201.83094316
-3627246.34825658,2925684.85782703,4340176.36168268
-3628729.02056318,2924303.96833115,4339869.66925704
-3630356.60136447,2923421.92104048,4339107.80362971
-3631127.74246774,2922725.33610336,4338932.98690557
-3632014.76295336,2921544.07221302,4338985.76242381
-3632582.37435617,2920581.76085808,4339157.2788969
-3633299.05771181,2918372.19390115,4340037.85771318
-3634650.87519968,2911491.42413573,4343502.60132961
-3634869.69566911,2904706.30233842,4347830.97674084
-3634492.02154762,2901639.47227449,4350178.05859423
-3633531.23691994,2898186.17412018,4353260.82933636
-3631763.71249156,2895038.09002457,4356805.12946228
-3628994.49610638,2892872.77540073,4360524.24544886
-3626754.89954919,2892401.95123357,4362684.77841931
-3620181.94062024,2892968.98622266,4367731.08929592
-3618046.92874969,2892399.80384944,4369862.24105555
-3616996.31616444,2891290.45207202,4371455.08300437
-3616577.08830751,2889709.5142015,4372837.74870939
-3616316.2450192,2887759.45469396,4374331.37575673
-3613033.79491779,2887063.34170746,4377480.9110267
-3612039.50077728,2887168.40132576,4378227.07331672
-3611061.20244897,2886083.82861877,4379738.68431809
-3607272.99311878,2885433.11505307,4383263.95644911
-3605586.60084751,2884756.07434348,4385084.45693367
-3604777.97265314,2883470.94940001,4386584.14197497
-3604053.34425935,2881389.02425334,4388534.02058627
-3603270.04362764,2877995.39780178,4391383.94062798
-3603389.77929892,2876330.98745956,4392369.43355355
-3603868.69410436,2874375.91054511,4393250.33359752
-3604557.03717694,2872538.36232235,4393883.17758711
-3606398.37395783,2869627.98313937,4394271.32448522
-3607056.17295519,2868152.20403569,4394692.05348968
-3607444.71911132,2866596.57332764,4395383.4046192
-3608208.53120553,2861397.16391039,4398125.00699195
-3608105.44384999,2858136.3058965,4400314.5615136
-3607222.64746168,2854886.30317308,4403128.24104656
-3605360.64056097,2851539.21464196,4406795.92579198
-3603268.9101379,2849044.66477278,4410096.72162799
-3600901.08050267,2846864.92774325,4413414.73434547
-3587399.3796795,2837689.53366464,4430174.15493154
-3585727.60236772,2835324.03483904,4433022.02876106
-3582956.14721248,2824854.36940555,4441878.25758884
-3574574.12940239,2813745.11474718,4455569.17492708
-3572040.62464289,2811315.36706181,4459109.48835346
-3563829.4910986,2806123.73857686,4468873.14523081
-3554978.60159082,2802157.86264167,4478337.41786988
-3549132.10330326,2800738.34118337,4483822.29152077
-3529606.42859832,2798892.30035593,4500246.89941922
-3526418.08661949,2797522.68866263,4503574.37763118
-3524111.88171739,2794804.3163109,4507042.661236
-3523966.24872461,2794093.68346407,4507593.39096973
-3523857.43813722,2791986.36260375,4508974.69292085
-3523659.13969739,2791030.96522234,4509716.09192653
-3523231.47425133,2790219.90536213,4510546.44044133
-3522744.83705032,2789622.83612548,4511290.76001733
-3522339.44811979,2789000.63585502,4511987.25465366
-3521735.60036922,2786374.6624088,4514066.55208457
-3520768.84661243,2785512.20084776,4515344.17233315
-3518265.8662759,2784645.24220806,4517812.56616967
-3517211.58141393,2784005.80434137,4519019.26246046
-3516290.83180603,2783041.42222473,4520320.85762757
