sim_time	pts.pos_.x	pts.pos_.y	pts.pos_.z	pts.vel_.x	pts.vel_.y	pts.vel_.z	gts.f_thrust_.x	gts.f_thrust_.y	gts.f_thrust_.z
105.000000	-4252702.579111309722	2381896.202437260654	4411722.836551842280	-2409.292550097494	-3175.199059401164	135.529759050245	-89831.143778861471	-108530.432485161189	10290.696379030856
106.000000	-4255114.140554087237	2378712.979250548407	4411855.869924160652	-2413.834250288152	-3191.260804046211	130.533919808865	-89610.670365157086	-108733.164542531580	10070.465990901808
107.000000	-4257530.255539111793	2375513.653762399685	4411983.898060316220	-2418.399661341295	-3207.403787138741	125.519252992723	-89389.505773005847	-108935.189591069153	9850.295752694596
108.000000	-4259950.947855846025	2372298.144356639124	4412106.902035158128	-2422.988940927244	-3223.628765978898	120.485562949627	-89167.653953882371	-109136.504681049206	9630.183506248250
109.000000	-4262376.241452929564	2369066.368654286955	4412224.862726333551	-2427.602249732617	-3239.936508904581	115.432650963312	-88945.118779205746	-109337.106927411805	9410.127209378763
110.000000	-4264806.160441203974	2365818.243502408266	4412337.760811231099	-2432.239751511740	-3256.327795521111	110.360315205178	-88721.904043205373	-109536.993507594205	9190.124931986262
111.000000	-4267240.729096830823	2362553.684962736443	4412445.576763832010	-2436.901613139709	-3272.803416936399	105.268350684352	-88498.013465688084	-109736.161659446952	8970.174852175987
112.000000	-4269679.971864433028	2359272.608300044201	4412548.290851524100	-2441.588004667085	-3289.364176001844	100.156549196038	-88273.450694649277	-109934.608679267665	8750.275252561398
113.000000	-4272123.913360299543	2355974.927970275749	4412645.883131856099	-2446.299099376304	-3306.010887559101	95.024699268125	-88048.219308847591	-110132.331919856821	8530.424516725812
114.000000	-4274572.578375618905	2352660.557608436327	4412738.333449264988	-2451.035073839837	-3322.744378692950	89.872586105999	-87822.322820264351	-110329.328788666491	8310.621125741007
115.000000	-4277025.991879836656	2349329.410016210284	4412825.621431696229	-2455.796107980128	-3339.565488990414	84.699991535544	-87595.764676540624	-110525.596745959876	8090.863654863059
116.000000	-4279484.179024018347	2345981.397149343044	4412907.726487207226	-2460.582385131368	-3356.475070806362	79.506693944268	-87368.548263187156	-110721.133303148075	7871.150770354381
117.000000	-4281947.165144309402	2342616.430104721803	4412984.627800497226	-2465.394092103143	-3373.473989535797	74.292468220520	-87140.676905846776	-110915.936021083719	7651.481226381328
118.000000	-4284414.975765409879	2339234.419107202441	4413056.304329385050	-2470.231419246002	-3390.563123893046	69.057085690757	-86912.153872403564	-111110.002508471895	7431.853862059717
119.000000	-4286887.636604172178	2335835.273496151436	4413122.734801215120	-2475.094560519025	-3407.743366198079	63.800314054793	-86682.982375079504	-111303.330420292405	7212.267598532583
120.000000	-4289365.173573247157	2332418.901711679064	4413183.897709173150	-2479.983713559392	-3425.015622670161	58.521917319005	-86453.165572404439	-111495.917456315845	6992.721436239125
121.000000	-4291847.612784795463	2328985.211280618794	4413239.771308585070	-2484.899079754076	-3442.380813729134	53.221655727422	-86222.706571134418	-111687.761359657743	6773.214452252464
